a8,80,0,0,0
b8,35,e1,ad,7f
b0,de,ad,ae,e7
b8,35,e1,ad,7f
b0,de,ad,ae,e3
b8,6f,bb,ed,7f
b0,de,ad,ae,ff
b8,2f,bb,3,ab
b0,de,ad,ae,eb
b8,35,e1,ad,7e
b0,de,ad,ae,e7
b8,35,e1,ad,7e
b0,de,ad,ae,e3
b8,6f,bb,ed,7e
b0,de,ad,ae,ff
b8,2f,bb,1,ab
b0,de,ad,ae,eb
b8,35,e1,ad,7d
b0,de,ad,ae,e7
b8,35,e1,ad,7d
b0,de,ad,ae,e3
b8,6f,bb,ed,7d
b0,de,ad,ae,ff
b8,2f,bb,0f,ab
b0,de,ad,ae,eb
b8,35,e1,ad,7c
b0,de,ad,ae,e7
b8,35,e1,ad,7c
b0,de,ad,ae,e3
b8,6f,bb,ed,7c
b0,de,ad,ae,ff
b8,2f,bb,0d,ab
b0,de,ad,ae,eb
b8,35,e1,ad,73
b0,de,ad,ae,e7
b8,35,e1,ad,73
b0,de,ad,ae,e3
b8,6f,bb,ed,73
b0,de,ad,ae,ff
b8,2f,bb,0b,ab
b0,de,ad,ae,eb
b8,35,e1,ad,72
b0,de,ad,ae,e7
b8,35,e1,ad,72
b0,de,ad,ae,e3
b8,6f,bb,ed,72
b0,de,ad,ae,ff
b8,2f,bb,9,ab
b0,de,ad,ae,ff
b8,ef,bb,f7,af
b0,de,ad,ae,fb
98,35,e1,ad,f1
b0,de,ad,ae,f7
98,35,e1,ad,f1
b0,de,ad,ae,f3
98,6f,bb,ed,f1
b0,de,ad,ae,ff
b8,ef,bb,f5,af
b0,de,ad,ae,fb
98,35,e1,ad,f0
b0,de,ad,ae,f7
98,35,e1,ad,f0
b0,de,ad,ae,f3
98,6f,bb,ed,f0
b0,de,ad,ae,ff
b8,ef,bb,f3,af
b0,de,ad,ae,fb
98,35,e1,ad,f7
b0,de,ad,ae,f7
98,35,e1,ad,f7
b0,de,ad,ae,f3
98,6f,bb,ed,f7
b0,de,ad,ae,ff
b8,ef,bb,f1,af
b0,de,ad,ae,fb
98,35,e1,ad,f6
b0,de,ad,ae,f7
98,35,e1,ad,f6
b0,de,ad,ae,f3
98,6f,bb,ed,f6
b0,de,ad,ae,ff
b8,ef,bb,ff,af
b0,de,ad,ae,fb
98,35,e1,ad,f5
b0,de,ad,ae,f7
98,35,e1,ad,f5
b0,de,ad,ae,f3
98,6f,bb,ed,f5
b0,de,ad,ae,ff
b8,ef,bb,fd,af
b0,de,ad,ae,fb
98,35,e1,ad,f4
b0,de,ad,ae,f7
98,35,e1,ad,f4
b0,de,ad,ae,f3
98,6f,bb,ed,f4
b0,de,ad,ae,ff
b8,ef,bb,fb,af
b0,de,ad,ae,fb
98,35,e1,ad,cb
b0,de,ad,ae,f7
98,35,e1,ad,cb
b0,de,ad,ae,f3
98,6f,bb,ed,cb
b0,de,ad,ae,ff
b8,ef,bb,f9,af
b0,de,ad,ae,fb
98,35,e1,ad,ca
b0,de,ad,ae,f7
98,35,e1,ad,ca
b0,de,ad,ae,f3
98,6f,bb,ed,ca
b0,de,ad,ae,ff
b8,ef,bb,e7,af
b0,de,ad,ae,fb
98,35,e1,ad,c9
b0,de,ad,ae,f7
98,35,e1,ad,c9
b0,de,ad,ae,f3
98,6f,bb,ed,c9
b0,de,ad,ae,ff
b8,ef,bb,e5,af
b0,de,ad,ae,fb
98,35,e1,ad,c8
b0,de,ad,ae,f7
98,35,e1,ad,c8
b0,de,ad,ae,f3
98,6f,bb,ed,c8
b0,de,ad,ae,ff
b8,ef,bb,e3,af
b0,de,ad,ae,fb
98,35,e1,ad,cf
b0,de,ad,ae,f7
98,35,e1,ad,cf
b0,de,ad,ae,f3
98,6f,bb,ed,cf
b0,de,ad,ae,ff
b8,ef,bb,e1,af
b0,de,ad,ae,fb
98,35,e1,ad,ce
b0,de,ad,ae,f7
98,35,e1,ad,ce
b0,de,ad,ae,f3
98,6f,bb,ed,ce
b0,de,ad,ae,ff
b8,ef,bb,ef,af
b0,de,ad,ae,fb
98,35,e1,ad,cd
b0,de,ad,ae,f7
98,35,e1,ad,cd
b0,de,ad,ae,f3
98,6f,bb,ed,cd
b0,de,ad,ae,ff
b8,ef,bb,ed,af
b0,de,ad,ae,fb
98,35,e1,ad,cc
b0,de,ad,ae,f7
98,35,e1,ad,cc
b0,de,ad,ae,f3
98,6f,bb,ed,cc
b0,de,ad,ae,ff
b8,ef,bb,eb,af
b0,de,ad,ae,fb
98,35,e1,ad,c3
b0,de,ad,ae,f7
98,35,e1,ad,c3
b0,de,ad,ae,f3
98,6f,bb,ed,c3
b0,de,ad,ae,ff
b8,ef,bb,e9,af
b0,de,ad,ae,fb
98,35,e1,ad,c2
b0,de,ad,ae,f7
98,35,e1,ad,c2
b0,de,ad,ae,f3
98,6f,bb,ed,c2
b0,de,ad,ae,ff
b8,ef,bb,d7,af
b0,de,ad,ae,fb
98,35,e1,ad,c1
b0,de,ad,ae,f7
98,35,e1,ad,c1
b0,de,ad,ae,f3
98,6f,bb,ed,c1
b0,de,ad,ae,ff
b8,ef,bb,d5,af
b0,de,ad,ae,fb
98,35,e1,ad,c0
b0,de,ad,ae,f7
98,35,e1,ad,c0
b0,de,ad,ae,f3
98,6f,bb,ed,c0
b0,de,ad,ae,ff
b8,ef,bb,d3,af
b0,de,ad,ae,fb
98,35,e1,ad,c7
b0,de,ad,ae,f7
98,35,e1,ad,c7
b0,de,ad,ae,f3
98,6f,bb,ed,c7
b0,de,ad,ae,ff
b8,ef,bb,d1,af
b0,de,ad,ae,fb
98,35,e1,ad,c6
b0,de,ad,ae,f7
98,35,e1,ad,c6
b0,de,ad,ae,f3
98,6f,bb,ed,c6
b0,de,ad,ae,ff
b8,ef,bb,df,af
b0,de,ad,ae,fb
98,35,e1,ad,c5
b0,de,ad,ae,f7
98,35,e1,ad,c5
b0,de,ad,ae,f3
98,6f,bb,ed,c5
b0,de,ad,ae,ff
b8,ef,bb,dd,af
b0,de,ad,ae,fb
98,35,e1,ad,c4
b0,de,ad,ae,f7
98,35,e1,ad,c4
b0,de,ad,ae,f3
98,6f,bb,ed,c4
b0,de,ad,ae,ff
b8,ef,bb,db,af
b0,de,ad,ae,fb
98,35,e1,ad,db
b0,de,ad,ae,f7
98,35,e1,ad,db
b0,de,ad,ae,f3
98,6f,bb,ed,db
b0,de,ad,ae,ff
b8,ef,bb,d9,af
b0,de,ad,ae,fb
98,35,e1,ad,da
b0,de,ad,ae,f7
98,35,e1,ad,da
b0,de,ad,ae,f3
98,6f,bb,ed,da
b0,de,ad,ae,ff
b8,ef,bb,c7,af
b0,de,ad,ae,fb
98,35,e1,ad,d9
b0,de,ad,ae,f7
98,35,e1,ad,d9
b0,de,ad,ae,f3
98,6f,bb,ed,d9
b0,de,ad,ae,ff
b8,ef,bb,c5,af
b0,de,ad,ae,fb
98,35,e1,ad,d8
b0,de,ad,ae,f7
98,35,e1,ad,d8
b0,de,ad,ae,f3
98,6f,bb,ed,d8
b0,de,ad,ae,ff
b8,ef,bb,c3,af
b0,de,ad,ae,fb
98,35,e1,ad,df
b0,de,ad,ae,f7
98,35,e1,ad,df
b0,de,ad,ae,f3
98,6f,bb,ed,df
b0,de,ad,ae,ff
b8,ef,bb,c1,af
b0,de,ad,ae,fb
98,35,e1,ad,de
b0,de,ad,ae,f7
98,35,e1,ad,de
b0,de,ad,ae,f3
98,6f,bb,ed,de
b0,de,ad,ae,ff
b8,ef,bb,cf,af
b0,de,ad,ae,fb
98,35,e1,ad,dd
b0,de,ad,ae,f7
98,35,e1,ad,dd
b0,de,ad,ae,f3
98,6f,bb,ed,dd
b0,de,ad,ae,ff
b8,ef,bb,cd,af
b0,de,ad,ae,fb
98,35,e1,ad,dc
b0,de,ad,ae,f7
98,35,e1,ad,dc
b0,de,ad,ae,f3
98,6f,bb,ed,dc
b0,de,ad,ae,ff
b8,ef,bb,cb,af
b0,de,ad,ae,fb
98,35,e1,ad,d3
b0,de,ad,ae,f7
98,35,e1,ad,d3
b0,de,ad,ae,f3
98,6f,bb,ed,d3
b0,de,ad,ae,ff
b8,ef,bb,c9,af
b0,de,ad,ae,fb
98,35,e1,ad,d2
b0,de,ad,ae,f7
98,35,e1,ad,d2
b0,de,ad,ae,f3
98,6f,bb,ed,d2
b0,de,ad,ae,ff
b8,ef,bb,b7,af
b0,de,ad,ae,fb
98,35,e1,ad,d1
b0,de,ad,ae,f7
98,35,e1,ad,d1
b0,de,ad,ae,f3
98,6f,bb,ed,d1
b0,de,ad,ae,ff
b8,ef,bb,b5,af
b0,de,ad,ae,fb
98,35,e1,ad,d0
b0,de,ad,ae,f7
98,35,e1,ad,d0
b0,de,ad,ae,f3
98,6f,bb,ed,d0
b0,de,ad,ae,ff
b8,ef,bb,b3,af
b0,de,ad,ae,fb
98,35,e1,ad,d7
b0,de,ad,ae,f7
98,35,e1,ad,d7
b0,de,ad,ae,f3
98,6f,bb,ed,d7
b0,de,ad,ae,ff
b8,ef,bb,b1,af
b0,de,ad,ae,fb
98,35,e1,ad,d6
b0,de,ad,ae,f7
98,35,e1,ad,d6
b0,de,ad,ae,f3
98,6f,bb,ed,d6
b0,de,ad,ae,ff
b8,ef,bb,bf,af
b0,de,ad,ae,fb
98,35,e1,ad,d5
b0,de,ad,ae,f7
98,35,e1,ad,d5
b0,de,ad,ae,f3
98,6f,bb,ed,d5
b0,de,ad,ae,ff
b8,ef,bb,bd,af
b0,de,ad,ae,fb
98,35,e1,ad,d4
b0,de,ad,ae,f7
98,35,e1,ad,d4
b0,de,ad,ae,f3
98,6f,bb,ed,d4
b0,de,ad,ae,ff
b8,ef,bb,bb,af
b0,de,ad,ae,fb
98,35,e1,ad,2b
b0,de,ad,ae,f7
98,35,e1,ad,2b
b0,de,ad,ae,f3
98,6f,bb,ed,2b
b0,de,ad,ae,ff
b8,ef,bb,b9,af
b0,de,ad,ae,fb
98,35,e1,ad,2a
b0,de,ad,ae,f7
98,35,e1,ad,2a
b0,de,ad,ae,f3
98,6f,bb,ed,2a
b0,de,ad,ae,ff
b8,ef,bb,a7,af
b0,de,ad,ae,fb
98,35,e1,ad,29
b0,de,ad,ae,f7
98,35,e1,ad,29
b0,de,ad,ae,f3
98,6f,bb,ed,29
b0,de,ad,ae,ff
b8,ef,bb,a5,af
b0,de,ad,ae,fb
98,35,e1,ad,28
b0,de,ad,ae,f7
98,35,e1,ad,28
b0,de,ad,ae,f3
98,6f,bb,ed,28
b0,de,ad,ae,ff
b8,ef,bb,a3,af
b0,de,ad,ae,fb
98,35,e1,ad,2f
b0,de,ad,ae,f7
98,35,e1,ad,2f
b0,de,ad,ae,f3
98,6f,bb,ed,2f
b0,de,ad,ae,ff
b8,ef,bb,a1,af
b0,de,ad,ae,fb
98,35,e1,ad,2e
b0,de,ad,ae,f7
98,35,e1,ad,2e
b0,de,ad,ae,f3
98,6f,bb,ed,2e
b0,de,ad,ae,ff
b8,ef,bb,af,af
b0,de,ad,ae,fb
98,35,e1,ad,2d
b0,de,ad,ae,f7
98,35,e1,ad,2d
b0,de,ad,ae,f3
98,6f,bb,ed,2d
b0,de,ad,ae,ff
b8,ef,bb,ad,af
b0,de,ad,ae,fb
98,35,e1,ad,2c
b0,de,ad,ae,f7
98,35,e1,ad,2c
b0,de,ad,ae,f3
98,6f,bb,ed,2c
b0,de,ad,ae,ff
b8,ef,bb,ab,af
b0,de,ad,ae,fb
98,35,e1,ad,23
b0,de,ad,ae,f7
98,35,e1,ad,23
b0,de,ad,ae,f3
98,6f,bb,ed,23
b0,de,ad,ae,ff
b8,ef,bb,a9,af
b0,de,ad,ae,fb
98,35,e1,ad,22
b0,de,ad,ae,f7
98,35,e1,ad,22
b0,de,ad,ae,f3
98,6f,bb,ed,22
b0,de,ad,ae,ff
b8,ef,bb,97,af
b0,de,ad,ae,fb
98,35,e1,ad,21
b0,de,ad,ae,f7
98,35,e1,ad,21
b0,de,ad,ae,f3
98,6f,bb,ed,21
b0,de,ad,ae,ff
b8,ef,bb,95,af
b0,de,ad,ae,fb
98,35,e1,ad,20
b0,de,ad,ae,f7
98,35,e1,ad,20
b0,de,ad,ae,f3
98,6f,bb,ed,20
b0,de,ad,ae,ff
b8,ef,bb,93,af
b0,de,ad,ae,fb
98,35,e1,ad,27
b0,de,ad,ae,f7
98,35,e1,ad,27
b0,de,ad,ae,f3
98,6f,bb,ed,27
b0,de,ad,ae,ff
b8,ef,bb,91,af
b0,de,ad,ae,fb
98,35,e1,ad,26
b0,de,ad,ae,f7
98,35,e1,ad,26
b0,de,ad,ae,f3
98,6f,bb,ed,26
b0,de,ad,ae,ff
b8,ef,bb,9f,af
b0,de,ad,ae,fb
98,35,e1,ad,25
b0,de,ad,ae,f7
98,35,e1,ad,25
b0,de,ad,ae,f3
98,6f,bb,ed,25
b0,de,ad,ae,ff
b8,ef,bb,9d,af
b0,de,ad,ae,fb
98,35,e1,ad,24
b0,de,ad,ae,f7
98,35,e1,ad,24
b0,de,ad,ae,f3
98,6f,bb,ed,24
b0,de,ad,ae,ff
b8,ef,bb,9b,af
b0,de,ad,ae,fb
98,35,e1,ad,3b
b0,de,ad,ae,f7
98,35,e1,ad,3b
b0,de,ad,ae,f3
98,6f,bb,ed,3b
b0,de,ad,ae,ff
b8,ef,bb,99,af
b0,de,ad,ae,fb
98,35,e1,ad,3a
b0,de,ad,ae,f7
98,35,e1,ad,3a
b0,de,ad,ae,f3
98,6f,bb,ed,3a
b0,de,ad,ae,ff
b8,ef,bb,87,af
b0,de,ad,ae,fb
98,35,e1,ad,39
b0,de,ad,ae,f7
98,35,e1,ad,39
b0,de,ad,ae,f3
98,6f,bb,ed,39
b0,de,ad,ae,ff
b8,ef,bb,85,af
b0,de,ad,ae,fb
98,35,e1,ad,38
b0,de,ad,ae,f7
98,35,e1,ad,38
b0,de,ad,ae,f3
98,6f,bb,ed,38
b0,de,ad,ae,ff
b8,ef,bb,83,af
b0,de,ad,ae,fb
98,35,e1,ad,3f
b0,de,ad,ae,f7
98,35,e1,ad,3f
b0,de,ad,ae,f3
98,6f,bb,ed,3f
b0,de,ad,ae,ff
b8,ef,bb,81,af
b0,de,ad,ae,fb
98,35,e1,ad,3e
b0,de,ad,ae,f7
98,35,e1,ad,3e
b0,de,ad,ae,f3
98,6f,bb,ed,3e
b0,de,ad,ae,ff
b8,ef,bb,8f,af
b0,de,ad,ae,fb
98,35,e1,ad,3d
b0,de,ad,ae,f7
98,35,e1,ad,3d
b0,de,ad,ae,f3
98,6f,bb,ed,3d
b0,de,ad,ae,ff
b8,ef,bb,8d,af
b0,de,ad,ae,fb
98,35,e1,ad,3c
b0,de,ad,ae,f7
98,35,e1,ad,3c
b0,de,ad,ae,f3
98,6f,bb,ed,3c
b0,de,ad,ae,ff
b8,ef,bb,8b,af
b0,de,ad,ae,fb
98,35,e1,ad,33
b0,de,ad,ae,f7
98,35,e1,ad,33
b0,de,ad,ae,f3
98,6f,bb,ed,33
b0,de,ad,ae,ff
b8,ef,bb,89,af
b0,de,ad,ae,fb
98,35,e1,ad,32
b0,de,ad,ae,f7
98,35,e1,ad,32
b0,de,ad,ae,f3
98,6f,bb,ed,32
b0,de,ad,ae,ff
b8,ef,bb,77,af
b0,de,ad,ae,fb
98,35,e1,ad,31
b0,de,ad,ae,f7
98,35,e1,ad,31
b0,de,ad,ae,f3
98,6f,bb,ed,31
b0,de,ad,ae,ff
b8,ef,bb,75,af
b0,de,ad,ae,fb
98,35,e1,ad,30
b0,de,ad,ae,f7
98,35,e1,ad,30
b0,de,ad,ae,f3
98,6f,bb,ed,30
b0,de,ad,ae,ff
b8,ef,bb,73,af
b0,de,ad,ae,fb
98,35,e1,ad,37
b0,de,ad,ae,f7
98,35,e1,ad,37
b0,de,ad,ae,f3
98,6f,bb,ed,37
b0,de,ad,ae,ff
b8,ef,bb,71,af
b0,de,ad,ae,fb
98,35,e1,ad,36
b0,de,ad,ae,f7
98,35,e1,ad,36
b0,de,ad,ae,f3
98,6f,bb,ed,36
b0,de,ad,ae,ff
b8,ef,bb,7f,af
b0,de,ad,ae,fb
98,35,e1,ad,35
b0,de,ad,ae,f7
98,35,e1,ad,35
b0,de,ad,ae,f3
98,6f,bb,ed,35
b0,de,ad,ae,ff
b8,ef,bb,7d,af
b0,de,ad,ae,fb
98,35,e1,ad,34
b0,de,ad,ae,f7
98,35,e1,ad,34
b0,de,ad,ae,f3
98,6f,bb,ed,34
b0,de,ad,ae,ff
b8,ef,bb,7b,af
b0,de,ad,ae,fb
98,35,e1,ad,0b
b0,de,ad,ae,f7
98,35,e1,ad,0b
b0,de,ad,ae,f3
98,6f,bb,ed,0b
b0,de,ad,ae,ff
b8,ef,bb,79,af
b0,de,ad,ae,fb
98,35,e1,ad,0a
b0,de,ad,ae,f7
98,35,e1,ad,0a
b0,de,ad,ae,f3
98,6f,bb,ed,0a
b0,de,ad,ae,ff
b8,ef,bb,67,af
b0,de,ad,ae,fb
98,35,e1,ad,9
b0,de,ad,ae,f7
98,35,e1,ad,9
b0,de,ad,ae,f3
98,6f,bb,ed,9
b0,de,ad,ae,ff
b8,ef,bb,65,af
b0,de,ad,ae,fb
98,35,e1,ad,8
b0,de,ad,ae,f7
98,35,e1,ad,8
b0,de,ad,ae,f3
98,6f,bb,ed,8
b0,de,ad,ae,ff
b8,ef,bb,63,af
b0,de,ad,ae,fb
98,35,e1,ad,0f
b0,de,ad,ae,f7
98,35,e1,ad,0f
b0,de,ad,ae,f3
98,6f,bb,ed,0f
b0,de,ad,ae,ff
b8,ef,bb,61,af
b0,de,ad,ae,fb
98,35,e1,ad,0e
b0,de,ad,ae,f7
98,35,e1,ad,0e
b0,de,ad,ae,f3
98,6f,bb,ed,0e
b0,de,ad,ae,ff
b8,ef,bb,6f,af
b0,de,ad,ae,fb
98,35,e1,ad,0d
b0,de,ad,ae,f7
98,35,e1,ad,0d
b0,de,ad,ae,f3
98,6f,bb,ed,0d
b0,de,ad,ae,ff
b8,ef,bb,6d,af
b0,de,ad,ae,fb
98,35,e1,ad,0c
b0,de,ad,ae,f7
98,35,e1,ad,0c
b0,de,ad,ae,f3
98,6f,bb,ed,0c
b0,de,ad,ae,ff
b8,ef,bb,6b,af
b0,de,ad,ae,fb
98,35,e1,ad,3
b0,de,ad,ae,f7
98,35,e1,ad,3
b0,de,ad,ae,f3
98,6f,bb,ed,3
b0,de,ad,ae,ff
b8,ef,bb,69,af
b0,de,ad,ae,fb
98,35,e1,ad,2
b0,de,ad,ae,f7
98,35,e1,ad,2
b0,de,ad,ae,f3
98,6f,bb,ed,2
b0,de,ad,ae,ff
b8,ef,bb,57,af
b0,de,ad,ae,fb
98,35,e1,ad,1
b0,de,ad,ae,f7
98,35,e1,ad,1
b0,de,ad,ae,f3
98,6f,bb,ed,1
b0,de,ad,ae,ff
b8,ef,bb,55,af
b0,de,ad,ae,fb
98,35,e1,ad,0
b0,de,ad,ae,f7
98,35,e1,ad,0
b0,de,ad,ae,f3
98,6f,bb,ed,0
b0,de,ad,ae,ff
b8,ef,bb,53,af
b0,de,ad,ae,fb
98,35,e1,ad,7
b0,de,ad,ae,f7
98,35,e1,ad,7
b0,de,ad,ae,f3
98,6f,bb,ed,7
b0,de,ad,ae,ff
b8,ef,bb,51,af
b0,de,ad,ae,fb
98,35,e1,ad,6
b0,de,ad,ae,f7
98,35,e1,ad,6
b0,de,ad,ae,f3
98,6f,bb,ed,6
b0,de,ad,ae,ff
b8,ef,bb,5f,af
b0,de,ad,ae,fb
98,35,e1,ad,5
b0,de,ad,ae,f7
98,35,e1,ad,5
b0,de,ad,ae,f3
98,6f,bb,ed,5
b0,de,ad,ae,ff
b8,ef,bb,5d,af
b0,de,ad,ae,fb
98,35,e1,ad,4
b0,de,ad,ae,f7
98,35,e1,ad,4
b0,de,ad,ae,f3
98,6f,bb,ed,4
b0,de,ad,ae,ff
b8,ef,bb,5b,af
b0,de,ad,ae,fb
98,35,e1,ad,1b
b0,de,ad,ae,f7
98,35,e1,ad,1b
b0,de,ad,ae,f3
98,6f,bb,ed,1b
b0,de,ad,ae,ff
b8,ef,bb,59,af
b0,de,ad,ae,fb
98,35,e1,ad,1a
b0,de,ad,ae,f7
98,35,e1,ad,1a
b0,de,ad,ae,f3
98,6f,bb,ed,1a
b0,de,ad,ae,ff
b8,ef,bb,47,af
b0,de,ad,ae,fb
98,35,e1,ad,19
b0,de,ad,ae,f7
98,35,e1,ad,19
b0,de,ad,ae,f3
98,6f,bb,ed,19
b0,de,ad,ae,ff
b8,ef,bb,45,af
b0,de,ad,ae,fb
98,35,e1,ad,18
b0,de,ad,ae,f7
98,35,e1,ad,18
b0,de,ad,ae,f3
98,6f,bb,ed,18
b0,de,ad,ae,ff
b8,ef,bb,43,af
b0,de,ad,ae,fb
98,35,e1,ad,1f
b0,de,ad,ae,f7
98,35,e1,ad,1f
b0,de,ad,ae,f3
98,6f,bb,ed,1f
b0,de,ad,ae,ff
b8,ef,bb,41,af
b0,de,ad,ae,fb
98,35,e1,ad,1e
b0,de,ad,ae,f7
98,35,e1,ad,1e
b0,de,ad,ae,f3
98,6f,bb,ed,1e
b0,de,ad,ae,ff
b8,ef,bb,4f,af
b0,de,ad,ae,fb
98,35,e1,ad,1d
b0,de,ad,ae,f7
98,35,e1,ad,1d
b0,de,ad,ae,f3
98,6f,bb,ed,1d
b0,de,ad,ae,ff
b8,ef,bb,4d,af
b0,de,ad,ae,fb
98,35,e1,ad,1c
b0,de,ad,ae,f7
98,35,e1,ad,1c
b0,de,ad,ae,f3
98,6f,bb,ed,1c
b0,de,ad,ae,ff
b8,ef,bb,4b,af
b0,de,ad,ae,fb
98,35,e1,ad,13
b0,de,ad,ae,f7
98,35,e1,ad,13
b0,de,ad,ae,f3
98,6f,bb,ed,13
b0,de,ad,ae,ff
b8,ef,bb,49,af
b0,de,ad,ae,fb
98,35,e1,ad,12
b0,de,ad,ae,f7
98,35,e1,ad,12
b0,de,ad,ae,f3
98,6f,bb,ed,12
b0,de,ad,ae,ff
b8,ef,bb,37,af
b0,de,ad,ae,fb
98,35,e1,ad,11
b0,de,ad,ae,f7
98,35,e1,ad,11
b0,de,ad,ae,f3
98,6f,bb,ed,11
b0,de,ad,ae,ff
b8,ef,bb,35,af
b0,de,ad,ae,fb
98,35,e1,ad,10
b0,de,ad,ae,f7
98,35,e1,ad,10
b0,de,ad,ae,f3
98,6f,bb,ed,10
b0,de,ad,ae,ff
b8,ef,bb,33,af
b0,de,ad,ae,fb
98,35,e1,ad,17
b0,de,ad,ae,f7
98,35,e1,ad,17
b0,de,ad,ae,f3
98,6f,bb,ed,17
b0,de,ad,ae,ff
b8,ef,bb,31,af
b0,de,ad,ae,fb
98,35,e1,ad,16
b0,de,ad,ae,f7
98,35,e1,ad,16
b0,de,ad,ae,f3
98,6f,bb,ed,16
b0,de,ad,ae,ff
b8,ef,bb,3f,af
b0,de,ad,ae,fb
98,35,e1,ad,15
b0,de,ad,ae,f7
98,35,e1,ad,15
b0,de,ad,ae,f3
98,6f,bb,ed,15
b0,de,ad,ae,ff
b8,ef,bb,3d,af
b0,de,ad,ae,fb
98,35,e1,ad,14
b0,de,ad,ae,f7
98,35,e1,ad,14
b0,de,ad,ae,f3
98,6f,bb,ed,14
b0,de,ad,ae,ff
b8,ef,bb,3b,af
b0,de,ad,ae,fb
98,35,e1,ad,6b
b0,de,ad,ae,f7
98,35,e1,ad,6b
b0,de,ad,ae,f3
98,6f,bb,ed,6b
b0,de,ad,ae,ff
b8,ef,bb,39,af
b0,de,ad,ae,fb
98,35,e1,ad,6a
b0,de,ad,ae,f7
98,35,e1,ad,6a
b0,de,ad,ae,f3
98,6f,bb,ed,6a
b0,de,ad,ae,ff
b8,ef,bb,27,af
b0,de,ad,ae,fb
98,35,e1,ad,69
b0,de,ad,ae,f7
98,35,e1,ad,69
b0,de,ad,ae,f3
98,6f,bb,ed,69
b0,de,ad,ae,ff
b8,ef,bb,25,af
b0,de,ad,ae,fb
98,35,e1,ad,68
b0,de,ad,ae,f7
98,35,e1,ad,68
b0,de,ad,ae,f3
98,6f,bb,ed,68
b0,de,ad,ae,ff
b8,ef,bb,23,af
b0,de,ad,ae,fb
98,35,e1,ad,6f
b0,de,ad,ae,f7
98,35,e1,ad,6f
b0,de,ad,ae,f3
98,6f,bb,ed,6f
b0,de,ad,ae,ff
b8,ef,bb,21,af
b0,de,ad,ae,fb
98,35,e1,ad,6e
b0,de,ad,ae,f7
98,35,e1,ad,6e
b0,de,ad,ae,f3
98,6f,bb,ed,6e
b0,de,ad,ae,ff
b8,ef,bb,2f,af
b0,de,ad,ae,fb
98,35,e1,ad,6d
b0,de,ad,ae,f7
98,35,e1,ad,6d
b0,de,ad,ae,f3
98,6f,bb,ed,6d
b0,de,ad,ae,ff
b8,ef,bb,2d,af
b0,de,ad,ae,fb
98,35,e1,ad,6c
b0,de,ad,ae,f7
98,35,e1,ad,6c
b0,de,ad,ae,f3
98,6f,bb,ed,6c
b0,de,ad,ae,ff
b8,ef,bb,2b,af
b0,de,ad,ae,fb
98,35,e1,ad,63
b0,de,ad,ae,f7
98,35,e1,ad,63
b0,de,ad,ae,f3
98,6f,bb,ed,63
b0,de,ad,ae,ff
b8,ef,bb,29,af
b0,de,ad,ae,fb
98,35,e1,ad,62
b0,de,ad,ae,f7
98,35,e1,ad,62
b0,de,ad,ae,f3
98,6f,bb,ed,62
b0,de,ad,ae,ff
b8,ef,bb,17,af
b0,de,ad,ae,fb
98,35,e1,ad,61
b0,de,ad,ae,f7
98,35,e1,ad,61
b0,de,ad,ae,f3
98,6f,bb,ed,61
b0,de,ad,ae,ff
b8,ef,bb,15,af
b0,de,ad,ae,fb
98,35,e1,ad,60
b0,de,ad,ae,f7
98,35,e1,ad,60
b0,de,ad,ae,f3
98,6f,bb,ed,60
b0,de,ad,ae,ff
b8,ef,bb,13,af
b0,de,ad,ae,fb
98,35,e1,ad,67
b0,de,ad,ae,f7
98,35,e1,ad,67
b0,de,ad,ae,f3
98,6f,bb,ed,67
b0,de,ad,ae,ff
b8,ef,bb,11,af
b0,de,ad,ae,fb
98,35,e1,ad,66
b0,de,ad,ae,f7
98,35,e1,ad,66
b0,de,ad,ae,f3
98,6f,bb,ed,66
b0,de,ad,ae,ff
b8,ef,bb,1f,af
b0,de,ad,ae,fb
98,35,e1,ad,65
b0,de,ad,ae,f7
98,35,e1,ad,65
b0,de,ad,ae,f3
98,6f,bb,ed,65
b0,de,ad,ae,ff
b8,ef,bb,1d,af
b0,de,ad,ae,fb
98,35,e1,ad,64
b0,de,ad,ae,f7
98,35,e1,ad,64
b0,de,ad,ae,f3
98,6f,bb,ed,64
b0,de,ad,ae,ff
b8,ef,bb,1b,af
b0,de,ad,ae,fb
98,35,e1,ad,7b
b0,de,ad,ae,f7
98,35,e1,ad,7b
b0,de,ad,ae,f3
98,6f,bb,ed,7b
b0,de,ad,ae,ff
b8,ef,bb,19,af
b0,de,ad,ae,fb
98,35,e1,ad,7a
b0,de,ad,ae,f7
98,35,e1,ad,7a
b0,de,ad,ae,f3
98,6f,bb,ed,7a
b0,de,ad,ae,ff
b8,ef,bb,7,af
b0,de,ad,ae,fb
98,35,e1,ad,79
b0,de,ad,ae,f7
98,35,e1,ad,79
b0,de,ad,ae,f3
98,6f,bb,ed,79
b0,de,ad,ae,ff
b8,ef,bb,5,af
b0,de,ad,ae,fb
98,35,e1,ad,78
b0,de,ad,ae,f7
98,35,e1,ad,78
b0,de,ad,ae,f3
98,6f,bb,ed,78
b0,de,ad,ae,ff
b8,ef,bb,3,af
b0,de,ad,ae,fb
98,35,e1,ad,7f
b0,de,ad,ae,f7
98,35,e1,ad,7f
b0,de,ad,ae,f3
98,6f,bb,ed,7f
b0,de,ad,ae,ff
